client_id,name,age,gender,income,credit_score,account_balance,account_id,account_type,balance,last_transaction_date,product_id,type,interest_rate,date,loan_type,service,rating,comment
87843.0,Amy Baker,47.0,Male,26974.0,786.0,20690.54,,,,,,,,,,,,
36726.0,Whitney Mitchell,27.0,Female,56582.0,607.0,14256.51,,,,,,,,,,,,
22198.0,Haley Thompson,21.0,Male,35070.0,676.0,15476.77,,,,,,,,,,,,
25196.0,Dana Haynes,51.0,Female,123722.0,459.0,15111.77,,,,,,,,,,,,
57044.0,Jean Roach,65.0,Female,24706.0,458.0,9487.86,,,,,,,,,,,,
37026.0,Dawn Banks,69.0,Male,147372.0,818.0,9739.11,,,,,,,,,,,,
64020.0,Eric Harris,41.0,Male,66045.0,674.0,3043.17,,,,,,,,,,,,
1253.0,Gregory Lee,40.0,Female,116463.0,788.0,14054.76,,,,,,,,,,,,
3374.0,Amanda Stuart,40.0,Female,123589.0,317.0,14054.21,,,,,,,,,,,,
33372.0,Daniel Irwin,18.0,Male,30268.0,503.0,18222.89,,,,,,,,,,,,
73521.0,John Anderson,60.0,Female,113748.0,400.0,25687.56,,,,,,,,,,,,
62789.0,Patricia Blair,58.0,Male,122012.0,426.0,5200.08,,,,,,,,,,,,
14369.0,Misty Avery,68.0,Male,39339.0,335.0,115.87,,,,,,,,,,,,
53032.0,Laura Cantu,75.0,Female,141018.0,478.0,7119.82,,,,,,,,,,,,
69530.0,Donald Shepard,20.0,Male,121349.0,405.0,1575.65,,,,,,,,,,,,
34510.0,John Martinez,75.0,Male,93827.0,394.0,42747.71,,,,,,,,,,,,
1028.0,Kenneth Doyle,24.0,Female,141066.0,465.0,17152.57,,,,,,,,,,,,
38709.0,Krystal Sanchez,57.0,Female,132406.0,312.0,10578.71,,,,,,,,,,,,
97378.0,Heather Hood,41.0,Male,88339.0,509.0,48844.01,,,,,,,,,,,,
87931.0,Nicole Reed,60.0,Female,39652.0,707.0,44297.57,,,,,,,,,,,,
4938.0,Matthew Aguilar,62.0,Male,21123.0,568.0,10928.78,,,,,,,,,,,,
73462.0,Amanda Hampton,78.0,Male,99902.0,503.0,21001.85,,,,,,,,,,,,
11559.0,Michael Howard,39.0,Female,138413.0,579.0,9799.07,,,,,,,,,,,,
69807.0,Jacob Murray,74.0,Male,134995.0,480.0,4494.57,,,,,,,,,,,,
99841.0,Tanya English,48.0,Male,37140.0,827.0,2080.57,,,,,,,,,,,,
11177.0,Suzanne Combs,59.0,Female,97568.0,801.0,26774.69,,,,,,,,,,,,
7368.0,Larry Rollins,50.0,Male,52676.0,554.0,7239.1,,,,,,,,,,,,
